Locality	State	Code	Country	N	Lon	Lat
Grand River	Ontario	GR	Canada	1	-80.348093	43.382217
Saugeen River	Ontario	SR	Canada	1	-81.353847	44.41793
Urban Park	Ontario	UP	Canada	4	-79.183184	43.83428
Sacapulas	Quiché	SG	Guatemala	10	-91.089086	15.290081
Apazapan	Veracruz	Ve	Mexico	9	-96.721044	19.327447
Arroyo Frío	Michoacán	AF	Mexico	1	-101.45799	19.163265
Camichines	Nayarit	Ny	Mexico	10	-104.688813	21.345635
Carretera Culiacán-Guamuchil	Sinaloa	Cu	Mexico	1	-107.855344	25.048578
Chiapa de Corzo	Chiapas	CC	Mexico	10	-93.013803	16.715415
Chupícuaro	Guanajuato	Cp	Mexico	10	-100.687669	20.072121
Cocoyotla	Morelos	Co	Mexico	10	-99.46094	18.75354
Comitancillo	Oaxaca	Cm	Mexico	10	-95.167071	16.490491
Cuatro Ciénegas	Coahuila	Ct	Mexico	10	-102.12426	26.92852
El Borbollón	Guerrero	Bo	Mexico	10	-99.21634	17.412114
El Fuerte	Sinaloa	EF	Mexico	10	-108.621821	26.424746
La Mintzita	Michoacán	Mn	Mexico	10	-101.274796	19.645084
Momax	Zacatecas	Mo	Mexico	10	-103.31071	21.94449
Nuevo Recuerdo	Chiapas	NR	Mexico	10	-91.99499	15.90103
Puente Madera	Chiapas	PM	Mexico	2	-93.33325	15.76587
Río Chonchos	Chihuahua	RCh	Mexico	8	-105.187726	27.71242
Río Cuyamiapa	Chiapas	RC	Mexico	1	-92.437407	15.117529
San Agustín	Hidalgo	SA	Mexico	4	-98.6425	20.52911
San Marcos	Puebla	SM	Mexico	10	-97.87192	20.39233
San Nicolás	Sonora	SN	Mexico	10	-109.191303	28.429343
Tomochic	Chihuahua	To	Mexico	2	-107.853641	28.353155
Villaldama	Nuevo León	Vi	Mexico	10	-100.43224	26.49984
Zaragoza	Coahuila	Za	Mexico	10	-100.91071	28.48658
Big Horn County	Montana	BHC	USA	2	-107.45367	45.568608
Crawford County	Kansas	CrC	USA	1	-94.65174	37.46924
Douglas County	Missouri	DC	USA	2	-92.18117	36.8493
Lincoln County	New Mexico	NM	USA	2	-105.439	33.526
Maury County	Tennessee	MC	USA	2	-86.87155	35.571
Ozark County	Missouri	OC	USA	2	-92.28699	36.73524
Searcy County	Arkansas	SC	USA	2	-92.74495	35.98511
Larimer County	Colorado	LC	USA	9	-105.019276	40.557465
Yavapai County	Arizona	Ar	USA	6	-112.024376	34.527138
