Poblacion,pops,morfo,Individuo,H3,H8,H11,H15,H17,H22
Borbollon,Bo,Hmx,HamBo1,174:186,181:181,157:157,269:269,317:319,202:217
Borbollon,Bo,Hmx,HamBo10,182:186,181:181,157:157,269:269,319:325,217:217
Borbollon,Bo,Hmx,HamBo2,182:186,177:181,157:157,269:269,319:319,217:217
Borbollon,Bo,Hmx,HamBo3,182:182,181:181,157:157,269:269,319:319,217:217
Borbollon,Bo,Hmx,HamBo4,178:178,181:181,157:157,269:269,319:319,217:217
Borbollon,Bo,Hmx,HamBo5,186:186,181:181,157:157,269:269,325:325,202:217
Borbollon,Bo,Hmx,HamBo6,182:186,177:181,157:157,269:269,319:319,217:217
Borbollon,Bo,Hmx,HamBo7,182:182,181:183,157:157,269:269,319:325,217:217
Borbollon,Bo,Hmx,HamBo8,182:182,181:183,157:157,269:269,319:325,217:217
Borbollon,Bo,Hmx,HamBo9,182:186,177:177,157:157,269:269,319:319,217:217
Chiapa de Corzo,CC,Hmx,HamCC1,186:186,173:173,157:157,265:265,297:319,217:217
Chiapa de Corzo,CC,Hcl,HamCC10,182:182,173:173,153:153,281:281,317:317,192:217
Chiapa de Corzo,CC,Hcl,HamCC2,182:182,173:179,153:153,281:281,319:319,192:217
Chiapa de Corzo,CC,Hmx,HamCC3,182:182,173:181,157:157,269:269,297:319,217:217
Chiapa de Corzo,CC,Hmx,HamCC4,182:186,173:173,157:157,269:269,319:319,217:217
Chiapa de Corzo,CC,Hcl,HamCC5,182:182,173:173,153:157,281:281,201:317,192:217
Chiapa de Corzo,CC,Hmx,HamCC6,182:182,173:173,157:157,269:269,319:319,217:217
Chiapa de Corzo,CC,Hmx,HamCC7,182:186,173:173,157:157,269:269,319:319,217:217
Chiapa de Corzo,CC,Hcl,HamCC8,182:182,173:177,153:153,281:281,317:317,192:217
Chiapa de Corzo,CC,Hmx,HamCC9,182:182,173:173,157:157,269:269,297:319,217:217
Comitancillo,Cm,Hmx,HamCm1,182:186,169:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm10,182:186,181:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm2,170:182,177:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm3,182:182,177:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm4,182:186,181:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm5,182:186,181:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm6,182:186,169:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm7,174:186,181:181,157:157,269:269,301:319,217:217
Comitancillo,Cm,Hmx,HamCm8,182:186,181:181,157:157,269:269,319:319,217:217
Comitancillo,Cm,Hmx,HamCm9,182:186,177:177,157:157,269:269,296:317,217:217
Cocoyotla,Co,Hmx,HamCo1,166:178,177:181,157:157,269:269,319:319,217:217
Cocoyotla,Co,Hmx,HamCo10,182:186,169:181,157:157,269:269,319:319,217:217
Cocoyotla,Co,Hmx,HamCo2,182:186,169:169,157:157,269:269,316:319,217:217
Cocoyotla,Co,Hmx,HamCo3,182:186,177:181,157:157,269:269,317:319,217:217
Cocoyotla,Co,Hmx,HamCo4,182:182,181:181,157:157,269:269,319:319,217:217
Cocoyotla,Co,Hmx,HamCo5,182:182,169:181,157:157,269:269,301:325,217:217
Cocoyotla,Co,Hmx,HamCo6,182:186,177:177,157:157,269:214,319:325,217:217
Cocoyotla,Co,Hmx,HamCo7,182:186,177:177,157:157,269:269,301:319,217:217
Cocoyotla,Co,Hmx,HamCo8,182:186,165:181,157:157,269:269,301:301,217:217
Cocoyotla,Co,Hmx,HamCo9,182:186,169:181,153:157,269:269,319:325,217:217
Chupícuaro,Cp,Hmx,HamCp1,186:186,181:181,157:157,269:269,325:325,217:217
Chupícuaro,Cp,Hmx,HamCp10,186:186,173:173,157:157,269:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp2,186:186,175:175,157:157,261:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp3,178:178,181:181,153:153,269:269,319:325,217:217
Chupícuaro,Cp,Hmx,HamCp4,186:186,173:173,157:157,269:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp5,186:186,173:173,157:157,269:269,319:325,217:217
Chupícuaro,Cp,Hmx,HamCp6,186:186,181:181,157:157,269:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp7,186:186,181:181,157:157,269:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp8,186:186,181:181,157:157,269:269,319:319,217:217
Chupícuaro,Cp,Hmx,HamCp9,182:186,181:181,157:157,269:269,319:319,217:217
Cuatrociénegas,Ct,Hcl,HamCt1,182:182,173:173,153:153,265:265,319:319,192:217
Cuatrociénegas,Ct,Hcl,HamCt10,182:182,173:173,153:153,265:265,319:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt2,182:182,177:177,153:153,265:265,319:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt3,182:182,173:173,153:153,265:265,319:319,192:217
Cuatrociénegas,Ct,Hcl,HamCt4,182:182,173:173,153:153,265:265,319:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt5,182:182,173:173,153:153,265:265,319:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt6,182:182,173:173,153:153,265:265,319:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt7,182:182,173:173,153:153,265:265,319:319,192:217
Cuatrociénegas,Ct,Hcl,HamCt8,182:182,173:173,153:153,265:265,337:337,192:217
Cuatrociénegas,Ct,Hcl,HamCt9,182:182,173:173,153:153,265:265,319:337,192:217
El Fuerte,EF,Ham,HamEF1,186:189,177:181,153:153,269:269,317:319,217:217
El Fuerte,EF,Ham,HamEF10,186:186,173:177,153:153,269:269,319:319,217:217
El Fuerte,EF,Ham,HamEF2,186:186,173:181,153:153,269:269,317:317,217:217
El Fuerte,EF,Ham,HamEF3,186:186,173:181,153:153,269:269,297:319,217:217
El Fuerte,EF,Hcl,HamEF4,182:182,173:181,153:153,281:281,317:317,192:217
El Fuerte,EF,Ham,HamEF5,186:186,173:181,153:153,269:269,317:319,217:217
El Fuerte,EF,Ham,HamEF6,186:186,177:181,153:153,269:269,317:319,217:217
El Fuerte,EF,Hcl,HamEF7,182:182,181:181,153:153,269:269,319:319,192:217
El Fuerte,EF,Hcl,HamEF8,182:182,181:181,153:153,281:305,317:317,192:217
El Fuerte,EF,Hcl,HamEF9,172:182,173:173,153:153,281:281,317:317,192:217
Larimer County,LC,Ham,HamLC1,186:186,181:181,153:153,249:269,293:319,217:217
Larimer County,LC,Ham,HamLC2,186:186,177:181,153:153,269:269,319:319,202:217
Larimer County,LC,Ham,HamLC3,182:186,181:181,153:153,269:269,319:319,217:217
Larimer County,LC,Ham,HamLC4,186:186,181:181,153:153,269:269,319:319,217:217
Larimer County,LC,Ham,HamLC5,186:186,169:181,153:153,269:269,319:319,217:217
Larimer County,LC,Ham,HamLC6,182:186,181:181,153:153,269:269,319:319,217:217
