Code,Lon,Lat
Ve,-96.721044,19.327447
Ny,-104.688813,21.345635
CC,-93.013803,16.715415
Co,-99.46094,18.75354
Cm,-95.167071,16.490491
Ct,-102.12426,26.92852
Bo,-99.21634,17.412114
EF,-108.621821,26.424746
LC,-105.019276,40.557465
Mo,-103.31071,21.94449
NR,-91.99499,15.90103
RCh,-105.187726,27.71242
SG,-91.089086,15.290081
SM,-97.87192,20.39233
SN,-109.191303,28.429343
Vi,-100.43224,26.49984
Za,-100.91071,28.48658
Cp,-100.687669,20.072121
Mn,-101.274796,19.645084
SA,-98.6425,20.52911
