"accession","title","taxid","slen","organism","locCode","sampleID","Locality","State","Country","N","Lon","Lat"
"MH090377.1","Hetaerina americana voucher HamEF1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","01","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090378.1","Hetaerina americana voucher HamEF10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","10","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090379.1","Hetaerina americana voucher HamEF2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","02","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090380.1","Hetaerina americana voucher HamEF3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","03","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090381.1","Hetaerina calverti voucher HamEF4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",2606447,614,"Hetaerina calverti","EF","04","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090382.1","Hetaerina americana voucher HamEF5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","05","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090383.1","Hetaerina americana voucher HamEF6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",62018,613,"Hetaerina americana","EF","06","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090384.1","Hetaerina calverti voucher HamEF7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",2606447,614,"Hetaerina calverti","EF","07","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090385.1","Hetaerina calverti voucher HamEF8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",2606447,614,"Hetaerina calverti","EF","08","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090386.1","Hetaerina calverti voucher HamEF9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",2606447,614,"Hetaerina calverti","EF","09","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090387.1","Hetaerina americana voucher HamCm2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","02","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090388.1","Hetaerina americana voucher HamCm3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","03","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090389.1","Hetaerina americana voucher HamCm4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","04","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090390.1","Hetaerina americana voucher HamCm5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","05","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090391.1","Hetaerina americana voucher HamCm6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","06","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090392.1","Hetaerina americana voucher HamCm7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","07","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090393.1","Hetaerina americana voucher HamCm8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","08","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090394.1","Hetaerina americana voucher HamCm9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","09","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090395.1","Hetaerina americana voucher HamCm10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Cm","10","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090396.1","Hetaerina americana voucher HamLC1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","01","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090397.1","Hetaerina americana voucher HamLC2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","02","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090398.1","Hetaerina americana voucher HamLC3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","03","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090399.1","Hetaerina americana voucher HamLC4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","04","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090400.1","Hetaerina americana voucher HamLC5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","05","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090401.1","Hetaerina americana voucher HamLC6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","06","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090402.1","Hetaerina americana voucher HamLC7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","07","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090403.1","Hetaerina americana voucher HamLC8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","08","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090404.1","Hetaerina americana voucher HamLC9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,546,"Hetaerina americana","LC","09","Larimer County","Colorado","USA",9,-105.019276,40.557465
"MH090405.1","Hetaerina calverti voucher HamVe1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ve","01","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090406.1","Hetaerina americana voucher HamVe2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ve","02","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090407.1","Hetaerina calverti voucher HamVe3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ve","03","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090408.1","Hetaerina americana voucher HamVe4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ve","04","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090409.1","Hetaerina calverti voucher HamVe5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ve","05","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090410.1","Hetaerina calverti voucher HamVe6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ve","06","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090411.1","Hetaerina calverti voucher HamVe7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ve","07","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090412.1","Hetaerina americana voucher HamVe8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ve","08","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090413.1","Hetaerina americana voucher HamVe9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","Ve","09","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090414.1","Hetaerina americana voucher HamCC1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","CC","01","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090415.1","Hetaerina calverti voucher HamCC2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","CC","02","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090416.1","Hetaerina americana voucher HamCC3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","CC","03","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090417.1","Hetaerina calverti voucher HamCC5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","CC","05","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090418.1","Hetaerina americana voucher HamCC6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","CC","06","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090419.1","Hetaerina americana voucher HamCC7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","CC","07","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090420.1","Hetaerina calverti voucher HamCC8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","CC","08","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090421.1","Hetaerina americana voucher HamCC9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",62018,543,"Hetaerina americana","CC","09","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090422.1","Hetaerina calverti voucher HamCC10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","CC","10","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090423.1","Hetaerina calverti voucher HamCt1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2606447,546,"Hetaerina calverti","Ct","01","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
