"accession","title","taxid","slen","organism","locCode","sampleID","Locality","State","Country","N","Lon","Lat"
"MH084732.1","Hetaerina americana isolate HamBo1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","01","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084733.1","Hetaerina americana isolate HamBo2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","02","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084734.1","Hetaerina americana isolate HamBo3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","03","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084735.1","Hetaerina americana isolate HamBo4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","04","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084736.1","Hetaerina americana isolate HamBo5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","05","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084737.1","Hetaerina americana isolate HamBo6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","06","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084738.1","Hetaerina americana isolate HamBo7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","07","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084739.1","Hetaerina americana isolate HamBo8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","08","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084740.1","Hetaerina americana isolate HamBo9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","09","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH084741.1","Hetaerina americana isolate HamBo10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Bo","10","El Borbollón","Guerrero","Mexico",10,-99.21634,17.412114
"MH090478.1","Hetaerina americana voucher HamAF1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","AF","01","Arroyo Frío","Michoacán","Mexico",1,-101.45799,19.163265
"MH090479.1","Hetaerina americana voucher HamBHC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","BHC","01","Big Horn County","Montana","USA",2,-107.45367,45.568608
"MH090480.1","Hetaerina americana voucher HamBHC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","BHC","02","Big Horn County","Montana","USA",2,-107.45367,45.568608
"MH090481.1","Hetaerina americana voucher HamCC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","01","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090482.1","Hetaerina calverti voucher HamCC10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","CC","10","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090483.1","Hetaerina calverti voucher HamCC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","CC","02","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090484.1","Hetaerina americana voucher HamCC3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","03","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090485.1","Hetaerina americana voucher HamCC4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","04","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090486.1","Hetaerina calverti voucher HamCC5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","CC","05","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090487.1","Hetaerina americana voucher HamCC6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","06","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090488.1","Hetaerina americana voucher HamCC7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","07","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090489.1","Hetaerina calverti voucher HamCC8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","CC","08","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090490.1","Hetaerina americana voucher HamCC9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CC","09","Chiapa de Corzo","Chiapas","Mexico",10,-93.013803,16.715415
"MH090491.1","Hetaerina americana voucher HamCm10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","10","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090492.1","Hetaerina americana voucher HamCm2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","02","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090493.1","Hetaerina americana voucher HamCm3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","03","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090494.1","Hetaerina americana voucher HamCm4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","04","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090495.1","Hetaerina americana voucher HamCm5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","05","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090496.1","Hetaerina americana voucher HamCm6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","06","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090497.1","Hetaerina americana voucher HamCm7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","07","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090498.1","Hetaerina americana voucher HamCm8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","08","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090499.1","Hetaerina americana voucher HamCm9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cm","09","Comitancillo","Oaxaca","Mexico",10,-95.167071,16.490491
"MH090500.1","Hetaerina americana voucher HamCo1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","01","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090501.1","Hetaerina americana voucher HamCo10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","10","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090502.1","Hetaerina americana voucher HamCo2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","02","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090503.1","Hetaerina americana voucher HamCo3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","03","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090504.1","Hetaerina americana voucher HamCo4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","04","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090505.1","Hetaerina americana voucher HamCo5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","05","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090506.1","Hetaerina americana voucher HamCo6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","06","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090507.1","Hetaerina americana voucher HamCo7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","07","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090508.1","Hetaerina americana voucher HamCo8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","08","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090509.1","Hetaerina americana voucher HamCo9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Co","09","Cocoyotla","Morelos","Mexico",10,-99.46094,18.75354
"MH090510.1","Hetaerina americana voucher HamCp1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","01","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090511.1","Hetaerina americana voucher HamCp10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","10","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090512.1","Hetaerina americana voucher HamCp2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","02","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090513.1","Hetaerina americana voucher HamCp3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","03","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090514.1","Hetaerina americana voucher HamCp4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","04","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090515.1","Hetaerina americana voucher HamCp5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","05","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090516.1","Hetaerina americana voucher HamCp6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","06","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090517.1","Hetaerina americana voucher HamCp8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Cp","08","Chupícuaro","Guanajuato","Mexico",10,-100.687669,20.072121
"MH090518.1","Hetaerina americana voucher HamCrC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","CrC","01","Crawford County","Kansas","USA",1,-94.65174,37.46924
"MH090519.1","Hetaerina calverti voucher HamCt1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","01","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090520.1","Hetaerina calverti voucher HamCt10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","10","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090521.1","Hetaerina calverti voucher HamCt2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","02","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090522.1","Hetaerina calverti voucher HamCt3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","03","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090523.1","Hetaerina calverti voucher HamCt4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","04","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090524.1","Hetaerina calverti voucher HamCt5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","05","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090525.1","Hetaerina calverti voucher HamCt6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","06","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090526.1","Hetaerina calverti voucher HamCt7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","07","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090527.1","Hetaerina calverti voucher HamCt8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","08","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090528.1","Hetaerina calverti voucher HamCt9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ct","09","Cuatro Ciénegas","Coahuila","Mexico",10,-102.12426,26.92852
"MH090529.1","Hetaerina americana voucher HamCu1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","Cu","01","Carretera Culiacán-Guamuchil","Sinaloa","Mexico",1,-107.855344,25.048578
"MH090530.1","Hetaerina americana voucher HamDC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","DC","01","Douglas County","Missouri","USA",2,-92.18117,36.8493
"MH090531.1","Hetaerina americana voucher HamDC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","DC","02","Douglas County","Missouri","USA",2,-92.18117,36.8493
"MH090532.1","Hetaerina americana voucher HamEF1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","01","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
"MH090533.1","Hetaerina americana voucher HamEF10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,632,"Hetaerina americana","EF","10","El Fuerte","Sinaloa","Mexico",10,-108.621821,26.424746
